品牌(中文),品牌(英文),品类,类别,,,,风格,,档次,
,Artemis,保健品,,,,,,,,
,GNC,保健品,,,,,,,,
,OSIM,保健品,,,,,,,,
宝明堂,,保健品,,,,,,,,
采芝林药业连锁,,保健品,,,,,,,,
豪贤医药保健商店,,保健品,,,,,,,,
金康药房,,保健品,,,,,,,,
康美人生,,保健品,,,,,,,,
尚栈燕窝虫草专门店,,保健品,,,,,,,,
新行家,,保健品,,,,,,,,
一致药店,,保健品,,,,,,,,
和米堂,,餐饮,东南亚菜,,,,,,,中档
花之宴,,餐饮,日本料理,,,,,,,中档
马拉爸爸,,餐饮,东南亚菜,,,,,,,中档
上井精致,,餐饮,日本料理,,,,,,,中档
尚品宫,,餐饮,韩国菜,,,,,,,中档
泰满冠,,餐饮,东南亚菜,,,,,,,中档
新罗宝,,餐饮,韩国菜,,,,,,,中档
隐竹,,餐饮,日本料理,,,,,,,中档
比利心思,Bel-zims,餐饮,风味小吃,,,,,,,中档
,Cafe Bene,餐饮,风味小吃,咖啡馆,,,,,,中档
,Candy,餐饮,风味小吃,,,,,,,中档
歌帝梵,GODIVA,餐饮,风味小吃,,,,,,,高档
,Hey YO!!,餐饮,风味小吃,,,,,,,大众
,ILLY,餐饮,风味小吃,咖啡馆,,,,,,高档
法国马卡龙,macaronhome,餐饮,风味小吃,,,,,,,高档
布歌东京,mvuke tokyo,餐饮,风味小吃,,,,,,,大众
诺好事,Neuhaus,餐饮,风味小吃,,,,,,,高档
爱盛面包店,,餐饮,面包甜品,,,,,,,大众
巴黎天使烘培公馆,,餐饮,面包甜品,,,,,,,高档
芭克闪冰,,餐饮,面包甜品,,,,,,,中档
不出二品,,餐饮,面包甜品,,,,,,,大众
徹思叔叔,,餐饮,面包甜品,,,,,,,大众
可颂坊,,餐饮,面包甜品,,,,,,,大众
栗品香,,餐饮,风味小吃,,,,,,,中档
莲香楼饼屋,,餐饮,风味小吃,,,,,,,中档
琳德烘焙,,餐饮,面包甜品,,,,,,,中档
美珍香,,餐饮,风味小吃,,,,,,,中档
面包新语,,餐饮,面包甜品,,,,,,,大众
面屋,,餐饮,面包甜品,,,,,,,大众
摩提工房,,餐饮,面包甜品,,,,,,,中档
荣华西饼屋,,餐饮,面包甜品,,,,,,,中档
太平洋咖啡,,餐饮,咖啡馆,,,,,,,中档
糖果研究室,,餐饮,面包甜品,,,,,,,中档
