品牌(中文),品牌(英文),品牌,品类,类别,,,,风格,,档次,
,Artemis,,Artemis,保健品,,,,,,,,
,GNC,,GNC,保健品,,,,,,,,
,OSIM,,OSIM,保健品,,,,,,,,
宝明堂,,宝明堂,,保健品,,,,,,,,
采芝林药业连锁,,采芝林药业连锁,,保健品,,,,,,,,
豪贤医药保健商店,,豪贤医药保健商店,,保健品,,,,,,,,
金康药房,,金康药房,,保健品,,,,,,,,
康美人生,,康美人生,,保健品,,,,,,,,
尚栈燕窝虫草专门店,,尚栈燕窝虫草专门店,,保健品,,,,,,,,
新行家,,新行家,,保健品,,,,,,,,
一致药店,,一致药店,,保健品,,,,,,,,
比利心思,Bel-zims,比利心思,Bel-zims,餐饮,风味小吃,,,,,,,中档
,Bistrow,,Bistrow,餐饮,西餐,,,,西餐正餐,,,高档
,Cafe Bene,,Cafe Bene,餐饮,风味小吃,咖啡馆,,,,,,中档
,Candy,,Candy,餐饮,风味小吃,,,,,,,中档
,COSTA,,COSTA,餐饮,咖啡馆,,,,,,,中档
,cotton’s,,cotton’s,餐饮,西餐,,,,西餐正餐,,,高档
,Deli&Leisure,,Deli&Leisure,餐饮,西餐,咖啡馆,,,西餐正餐,,,中档
歌帝梵,GODIVA,歌帝梵,GODIVA,餐饮,风味小吃,,,,,,,高档
,Hey YO!!,,Hey YO!!,餐饮,风味小吃,,,,,,,大众
,ILLY,,ILLY,餐饮,风味小吃,咖啡馆,,,,,,高档
,Jade Garden,,Jade Garden,餐饮,中餐,,,,粤菜,,,高档
拉蒂娜,latina,拉蒂娜,latina,餐饮,西餐,,,,西餐正餐,,,高档
法国马卡龙,macaronhome,法国马卡龙,macaronhome,餐饮,风味小吃,,,,,,,高档
布歌东京,mvuke tokyo,布歌东京,mvuke tokyo,餐饮,风味小吃,,,,,,,大众
诺好事,Neuhaus,诺好事,Neuhaus,餐饮,风味小吃,,,,,,,高档
玛尚诺,Pizza Marzano,玛尚诺,Pizza Marzano,餐饮,西餐,,,,西餐正餐,,,中档
极食餐厅,THE URBAN HARVEST,极食餐厅,THE URBAN HARVEST,餐饮,西餐,,,,西餐正餐,,,高档
沃歌斯,wagas,沃歌斯,wagas,餐饮,西餐,,,,西餐正餐,,,高档
28煮意,,28煮意,,餐饮,中餐,,,,粤菜,,,中档
爱果果,,爱果果,,餐饮,面包甜品,,,,,,,大众
爱盛面包店,,爱盛面包店,,餐饮,面包甜品,,,,,,,大众
巴黎天使烘培公馆,,巴黎天使烘培公馆,,餐饮,面包甜品,,,,,,,高档
芭克闪冰,,芭克闪冰,,餐饮,面包甜品,,,,,,,中档
宝山万达店,,宝山万达店,,餐饮,中餐,,,,火锅,,,高档
不出二品,,不出二品,,餐饮,面包甜品,,,,,,,大众
徹思叔叔,,徹思叔叔,,餐饮,面包甜品,,,,,,,大众
川菜鱼,,川菜鱼,,餐饮,中餐,,,,川菜,,,中档
大家乐,,大家乐,,餐饮,中餐,,,,中式快餐,,,大众
大碗便丼,,大碗便丼,,餐饮,中餐,,,,中式快餐,,,大众
代官山,,代官山,,餐饮,西餐,,,,西餐正餐,,,高档
稻香,,稻香,,餐饮,中餐,,,,粤菜,,,中档
鼎泰丰,,鼎泰丰,,餐饮,中餐,,,,粤菜,,,中档
东方既白,,东方既白,,餐饮,中餐,,,,粤菜,,,中档
东西烧,,东西烧,,餐饮,中餐,,,,烧烤,,,中档
港丽餐厅,,港丽餐厅,,餐饮,中餐,,,,中式快餐,,,中档
和米堂,,和米堂,,餐饮,东南亚菜,,,,,,,中档
花之宴,,花之宴,,餐饮,日本料理,,,,,,,中档
黄记煌三汁焖锅,,黄记煌三汁焖锅,,餐饮,中餐,,,,江浙,,,中档
辉记,,辉记,,餐饮,中餐,,,,粤菜,,,高档
家有好面,,家有好面,,餐饮,中餐,,,,江浙,,,中档
金草帽韩式自助烤肉,,金草帽韩式自助烤肉,,餐饮,中餐,,,,烧烤,,,中档
津粉世家,,津粉世家,,餐饮,中餐,,,,中式快餐,,,大众
锦逸,,锦逸,,餐饮,西餐,,,,西餐正餐,,,高档
卡撒浓汤,,卡撒浓汤,,餐饮,西餐,,,,西餐正餐,,,中档
可颂坊,,可颂坊,,餐饮,面包甜品,,,,,,,大众
辣尚瘾,,辣尚瘾,,餐饮,中餐,,,,川菜,,,中档
老成都,,老成都,,餐饮,中餐,,,,川菜,,,中档
老乡村,,老乡村,,餐饮,中餐,,,,湘菜,,,中档
乐意坊,,乐意坊,,餐饮,西餐,,,,西餐正餐,,,高档
栗品香,,栗品香,,餐饮,风味小吃,,,,,,,中档
莲香楼饼屋,,莲香楼饼屋,,餐饮,风味小吃,,,,,,,中档
梁记,,梁记,,餐饮,中餐,,,,中式快餐,,,大众
琳德烘焙,,琳德烘焙,,餐饮,面包甜品,,,,,,,中档
鹭鹭小馆,,鹭鹭小馆,,餐饮,中餐,,,,江浙,,,中档
罗节子肥肠粉,,罗节子肥肠粉,,餐饮,中餐,,,,粤菜,,,大众
麻辣派对,,麻辣派对,,餐饮,中餐,,,,火锅,,,中档
麻辣香锅,,麻辣香锅,,餐饮,中餐,,,,火锅,,,中档
麻田会,,麻田会,,餐饮,中餐,,,,火锅,,,中档
马拉爸爸,,马拉爸爸,,餐饮,东南亚菜,,,,,,,中档
美珍香,,美珍香,,餐饮,风味小吃,,,,,,,中档
面包新语,,面包新语,,餐饮,面包甜品,,,,,,,大众
面屋,,面屋,,餐饮,面包甜品,,,,,,,大众
摩提工房,,摩提工房,,餐饮,面包甜品,,,,,,,中档
南小馆,,南小馆,,餐饮,中餐,,,,粤菜,,,大众
瓯之味,,瓯之味,,餐饮,中餐,,,,中式快餐,,,中档
千味涮,,千味涮,,餐饮,中餐,,,,火锅,,,中档
俏江南,,俏江南,,餐饮,中餐,,,,粤菜,,,高档
荣华西饼屋,,荣华西饼屋,,餐饮,面包甜品,,,,,,,中档
善苜村,,善苜村,,餐饮,中餐,,,,火锅,,,中档
膳缘素汇,,膳缘素汇,,餐饮,中餐,,,,江浙,,,中档
上海老站,,上海老站,,餐饮,中餐,,,,江浙,,,高档
上韩馆,,上韩馆,,餐饮,中餐,,,,西北,,,中档
上井精致,,上井精致,,餐饮,日本料理,,,,,,,中档
尚品宫,,尚品宫,,餐饮,韩国菜,,,,,,,中档
尚庆林自助美食超市,,尚庆林自助美食超市,,餐饮,中餐,,,,火锅,,,中档
盛宴自助餐厅,,盛宴自助餐厅,,餐饮,中餐,,,,火锅,,,高档
薯三多川菜,,薯三多川菜,,餐饮,中餐,,,,川菜,,,中档
太平洋咖啡,,太平洋咖啡,,餐饮,咖啡馆,,,,,,,中档
泰满冠,,泰满冠,,餐饮,东南亚菜,,,,,,,中档
糖果研究室,,糖果研究室,,餐饮,面包甜品,,,,,,,中档
陶源酒家,,陶源酒家,,餐饮,中餐,,,,粤菜,,,高档
甜蜜转身,,甜蜜转身,,餐饮,面包甜品,,,,,,,高档
甜兮兮,,甜兮兮,,餐饮,面包甜品,,,,,,,中档
团团锅麻辣香锅,,团团锅麻辣香锅,,餐饮,中餐,,,,火锅,,,中档
王氏捞吧,,王氏捞吧,,餐饮,中餐,,,,火锅,,,中档
望湘园,,望湘园,,餐饮,中餐,,,,湘菜,,,中档
味食尚,,味食尚,,餐饮,中餐,,,,江浙,,,中档
西龙纤味,,西龙纤味,,餐饮,中餐,,,,江浙,,,中档
西树泡芙,,西树泡芙,,餐饮,面包甜品,,,,,,,大众
仙芋传奇,,仙芋传奇,,餐饮,面包甜品,,,,,,,大众
仙踪林,,仙踪林,,餐饮,面包甜品,,,,,,,中档
鲜语,,鲜语,,餐饮,面包甜品,,,,,,,中档
香溢培客,,香溢培客,,餐饮,面包甜品,,,,,,,中档
湘飘飘麻辣香锅,,湘飘飘麻辣香锅,,餐饮,中餐,,,,火锅,,,中档
小辉哥火锅,,小辉哥火锅,,餐饮,中餐,,,,火锅,,,中档
新罗宝,,新罗宝,,餐饮,韩国菜,,,,,,,中档
新元素,,新元素,,餐饮,西餐,,,,西餐正餐,,,中档
星奇异水果厨房,,星奇异水果厨房,,餐饮,面包甜品,,,,,,,中档
宴江南,,宴江南,,餐饮,中餐,,,,粤菜,,,中档
一菜,,一菜,,餐饮,中餐,,,,粤菜,,,中档
一茶一坐,,一茶一坐,,餐饮,中餐,,,,粤菜,,,中档
一品大虾,,一品大虾,,餐饮,中餐,,,,江浙,,,中档
伊藤家,,伊藤家,,餐饮,面包甜品,,,,,,,大众
意粉屋,,意粉屋,,餐饮,西餐,,,,西餐正餐,,,中档
隐竹,,隐竹,,餐饮,日本料理,,,,,,,中档
鱼满塘,,鱼满塘,,餐饮,中餐,,,,湘菜,,,高档
芋观园,,芋观园,,餐饮,面包甜品,,,,,,,大众
周记冒菜,,周记冒菜,,餐饮,中餐,,,,湘菜,,,中档
猪头&鱼,,猪头&鱼,,餐饮,面包甜品,,,,,,,中档
竹风台湾风味餐厅,,竹风台湾风味餐厅,,餐饮,西餐,,,,西餐正餐,,,中档
尊尚食府班敦会,,尊尚食府班敦会,,餐饮,中餐,,,,粤菜,,,高档
苹果商店,AppleShop,苹果商店,AppleShop,超市,,,,,,,,
,Ole精品超市,,Ole精品超市,超市,,,,,,,,
华润万家,VANGUARD,华润万家,VANGUARD,超市,,,,,,,,
屈臣氏,Watsons,屈臣氏,Watsons,超市,,,,,,,,
万宁,,万宁,,超市,,,,,,,,
永旺,,永旺,,超市,,,,,,,,
尊尚百货,,尊尚百货,,超市,,,,,,,,
